name,city,country_iso,code,lat,longit,alt
Montauban Airport,Montauban,FR,XMW,44.02569961547852,1.3780399560928345,351
Rochefort-Saint-Agnant (BA 721) Airport,Rochefort,FR,RCO,45.88779830932617,-0.9830560088157654,60
Colmar-Houssen Airport,Colmar,FR,CMR,48.109901428222656,7.359010219573975,628
Dole-Tavaux Airport,Dole,FR,DLE,47.042686,5.435063,645
Aubenas-Ardèche Méridional Airport,Aubenas-vals-lanas,FR,OBS,44.544203,4.372192,923
Le Puy-Loudes Airport,Le Puy,FR,LPY,45.0806999206543,3.762890100479126,2731
Metz-Nancy-Lorraine Airport,Metz,FR,ETZ,48.9821014404,6.25131988525,870
Bastia-Poretta Airport,Bastia,FR,BIA,42.55270004272461,9.48373031616211,26
Calvi-Sainte-Catherine Airport,Calvi,FR,CLY,42.5244444,8.7930556,209
Figari Sud-Corse Airport,Figari,FR,FSC,41.5005989074707,9.097780227661133,87
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,FR,AJA,41.92359924316406,8.8029203414917,18
Propriano Airport,Propriano,FR,PRP,41.66059875488281,8.889749526977539,13
Solenzara (BA 126) Air Base,Solenzara,FR,SOZ,41.92440032958984,9.406000137329102,28
Auxerre-Branches Airport,Auxerre,FR,AUF,47.85020065307617,3.497109889984131,523
Chambéry-Savoie Airport,Chambery,FR,CMF,45.63809967041016,5.880229949951172,779
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,FR,CFE,45.7867012024,3.1691699028,1090
Bourges Airport,Bourges,FR,BOU,47.058101654052734,2.3702800273895264,529
Annemasse Airport,Annemasse,FR,QNJ,46.1920013428,6.268390178680001,1620
Lyon Saint-Exupéry Airport,Lyon,FR,LYS,45.725556,5.081111,821
Saint-Yan Airport,St.-yan,FR,SYT,46.41249847412109,4.0132598876953125,796
Roanne-Renaison Airport,Roanne,FR,RNE,46.05830001831055,4.001389980316162,1106
Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,FR,NCY,45.9308333,6.1063889,1521
Grenoble-Isère Airport,Grenoble,FR,GNB,45.36289978027344,5.329370021820068,1302
Valence-Chabeuil Airport,Valence,FR,VAF,44.9216,4.9699,525
Vichy-Charmeil Airport,Vichy,FR,VHY,46.169700622558594,3.4037399291992188,817
Aurillac Airport,Aurillac,FR,AUR,44.89139938354492,2.4219400882720947,2096
"Châteauroux-Déols ""Marcel Dassault"" Airport",Chateauroux,FR,CHR,46.860278,1.721111,529
Lyon-Bron Airport,Lyon,FR,LYN,45.72719955444336,4.944270133972168,659
Cannes-Mandelieu Airport,Cannes,FR,CEQ,43.542,6.95348,13
